Source.Name,Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Game Length,Ejected,Sabotages Fixed,Time To Completed All Tasks,Rank Change,Region/Game Code,,,,,
User1,12/08/2020 at 9:40:37 pm EST,Crewmate,Loss,6,No,Yes,05m 14s,No,1,-,---,Europe / RLNKUF,,,,,
User1,12/08/2020 at 9:31:19 pm EST,Crewmate,Win,8,Yes,No,07m 46s,No,0,07m 46s,++,Europe / RLNKUF,,,,,
User1,12/08/2020 at 1:10:04 am EST,Crewmate,Loss,7,Yes,Yes,19m 38s,No,1,11m 00s,--,NA / FATWCF,,,,,
User1,12/08/2020 at 12:45:49 am EST,Crewmate,Loss,7,Yes,Yes,12m 19s,No,1,09m 01s,--,NA / FATWCF,,,,,
User1,12/08/2020 at 12:16:47 am EST,Crewmate,Win,8,Yes,Yes,18m 26s,No,1,14m 32s,++,NA / BRFSZF,,,,,
User1,12/07/2020 at 11:56:42 pm EST,Crewmate,Loss,8,Yes,Yes,17m 02s,No,0,09m 26s,--,NA / BRFSZF,,,,,
User1,12/07/2020 at 11:37:49 pm EST,Crewmate,Win,5,No,No,05m 47s,No,0,-,++,NA / BRFSZF,,,,,
User1,12/07/2020 at 11:12:09 pm EST,Crewmate,Win,7,Yes,No,10m 32s,No,0,05m 15s,++,NA / IKPWHF,,,,,
User1,12/07/2020 at 10:43:52 pm EST,Crewmate,Win,5,No,No,10m 48s,No,1,-,++,NA / IKPWHF,,,,,
User1,12/07/2020 at 10:32:47 pm EST,Crewmate,Loss,7,Yes,Yes,12m 44s,No,0,12m 43s,--,NA / IKPWHF,,,,,
User1,12/07/2020 at 9:57:06 pm EST,Crewmate,Loss,1,No,Yes,01m 50s,No,0,-,N/A,NA / RTAXDF,,,,,
User1,12/07/2020 at 9:41:52 pm EST,Crewmate,Loss,7,No,Yes,08m 54s,No,0,-,---,NA / ITURDF,,,,,
User1,12/07/2020 at 9:24:08 pm EST,Crewmate,Win,8,Yes,Yes,24m 13s,No,1,13m 26s,++,NA / ITURDF,,,,,
User1,12/07/2020 at 2:07:10 am EST,Crewmate,Win,3,No,Yes,15m 47s,No,0,-,++,NA / HUTXKF,,,,,
User1,12/07/2020 at 1:33:51 am EST,Crewmate,Win,7,Yes,Yes,12m 15s,No,0,05m 28s,++,NA / HUTXKF,,,,,
User1,12/07/2020 at 12:57:20 am EST,Crewmate,Win,7,Yes,No,16m 58s,No,0,14m 00s,++,NA / HUTXKF,,,,,
User1,12/06/2020 at 9:52:44 pm EST,Crewmate,Win,8,Yes,Yes,17m 20s,No,0,04m 59s,++,NA / JKQLUF,,,,,
User1,12/06/2020 at 9:19:28 pm EST,Crewmate,Win,4,No,No,11m 28s,No,1,-,++,NA / JKQLUF,,,,,
User1,12/06/2020 at 9:06:56 pm EST,Crewmate,Loss,4,No,Yes,12m 33s,No,0,-,---,NA / JKQLUF,,,,,
User1,12/06/2020 at 4:34:13 pm EST,Crewmate,Win,8,Yes,Yes,21m 02s,No,0,14m 07s,++,Europe / DSYWJF,,,,,
User1,12/06/2020 at 4:12:28 pm EST,Crewmate,Loss,7,No,Yes,08m 40s,No,0,-,---,Europe / DSYWJF,,,,,
User1,12/06/2020 at 3:59:02 pm EST,Crewmate,Win,4,No,No,07m 50s,No,1,-,++,Europe / DSYWJF,,,,,
User1,12/06/2020 at 3:48:06 pm EST,Crewmate,Win,8,Yes,No,12m 17s,No,0,08m 17s,++,Europe / DSYWJF,,,,,
User1,12/06/2020 at 3:30:51 pm EST,Crewmate,Loss,7,No,No,10m 23s,No,1,-,---,Europe / DSYWJF,,,,,
User1,12/06/2020 at 2:44:31 pm EST,Crewmate,Loss,6,No,Yes,12m 43s,No,0,-,---,Europe / HRGJOF,,,,,
User1,12/06/2020 at 2:21:07 pm EST,Crewmate,Loss,7,Yes,Yes,21m 37s,No,0,13m 10s,--,Europe / HRGJOF,,,,,
User1,12/06/2020 at 12:55:57 am EST,Crewmate,Loss,7,No,Yes,11m 40s,No,1,-,---,Europe / RUFQCF,,,,,
User1,12/06/2020 at 12:43:22 am EST,Crewmate,Win,8,Yes,Yes,11m 29s,No,0,05m 01s,++,Europe / RUFQCF,,,,,
User1,12/06/2020 at 12:27:10 am EST,Crewmate,Win,8,Yes,No,11m 31s,No,0,05m 45s,++,Europe / RUFQCF,,,,,
User1,12/06/2020 at 12:14:34 am EST,Crewmate,Win,8,Yes,No,10m 36s,No,0,06m 55s,++,Europe / RUFQCF,,,,,
User1,12/06/2020 at 12:02:37 am EST,Crewmate,Loss,8,Yes,Yes,11m 12s,No,0,07m 43s,--,Europe / RUFQCF,,,,,
User10,12/13/2020 at 9:39:16 pm EST,Crewmate,Win,3,No,No,05m 10s,No,0,-,++,NA / BZCDRQ,,,,,
User10,12/13/2020 at 4:46:26 pm EST,Crewmate,Win,2,No,Yes,08m 11s,No,0,-,++,NA / GTJRIF,,,,,
User10,12/13/2020 at 4:33:55 pm EST,Crewmate,Loss,7,Yes,Yes,11m 04s,No,0,06m 32s,--,NA / GTJRIF,,,,,
User10,12/13/2020 at 4:11:30 pm EST,Crewmate,Loss,7,Yes,Yes,13m 46s,No,1,05m 46s,--,NA / GTJRIF,,,,,
User10,12/13/2020 at 3:55:27 pm EST,Crewmate,Loss,7,Yes,Yes,09m 56s,No,0,06m 29s,--,NA / GTJRIF,,,,,
User10,12/13/2020 at 3:28:39 pm EST,Crewmate,Win,7,Yes,Yes,06m 12s,No,1,05m 53s,++,NA / GTJRIF,,,,,
User10,12/13/2020 at 3:20:11 pm EST,Crewmate,Win,4,No,No,08m 04s,No,1,-,++,NA / GTJRIF,,,,,
User10,12/13/2020 at 3:03:36 pm EST,Crewmate,Loss,9,No,Yes,05m 07s,No,0,04m 27s,---,NA / FDMAOF,,,,,
User10,12/13/2020 at 2:57:33 pm EST,Crewmate,Win,9,Yes,No,10m 38s,No,1,04m 13s,++,NA / FDMAOF,,,,,
User10,12/11/2020 at 4:15:06 pm EST,Crewmate,Win,8,Yes,No,19m 33s,No,3,09m 01s,++,Europe / BFRJCF,,,,,
User10,12/11/2020 at 3:49:31 pm EST,Crewmate,Loss,7,Yes,Yes,13m 15s,No,0,05m 35s,--,Europe / BFRJCF,,,,,
User10,12/11/2020 at 3:30:33 pm EST,Crewmate,Win,7,Yes,Yes,13m 16s,No,0,08m 01s,++,Europe / BFRJCF,,,,,
User10,12/11/2020 at 2:04:24 pm EST,Crewmate,Win,7,Yes,No,16m 53s,No,2,05m 07s,++,Europe / ONSJWQ,,,,,
User10,12/11/2020 at 1:46:28 pm EST,Crewmate,Win,7,Yes,Yes,19m 25s,No,1,11m 44s,++,Europe / ONSJWQ,,,,,
User10,12/11/2020 at 1:07:37 pm EST,Crewmate,Win,7,Yes,Yes,08m 26s,No,1,04m 43s,++,NA / NNNSXQ,,,,,
User10,12/11/2020 at 12:57:31 pm EST,Crewmate,Win,7,Yes,Yes,12m 53s,No,0,04m 36s,++,NA / NNNSXQ,,,,,
User10,12/11/2020 at 12:42:59 pm EST,Crewmate,Win,7,Yes,No,12m 21s,No,1,04m 56s,++,NA / NNNSXQ,,,,,
User10,12/11/2020 at 12:28:35 pm EST,Crewmate,Loss,7,Yes,No,04m 54s,No,0,04m 40s,N/A,NA / NNNSXQ,,,,,
User10,12/11/2020 at 12:21:53 pm EST,Crewmate,Win,4,No,Yes,05m 06s,No,1,-,++,NA / NNNSXQ,,,,,
User10,12/11/2020 at 12:13:58 pm EST,Crewmate,Win,7,Yes,No,09m 09s,No,0,04m 55s,++,NA / NNNSXQ,,,,,
User10,12/11/2020 at 12:02:53 pm EST,Crewmate,Loss,7,Yes,Yes,14m 08s,No,0,03m 52s,--,NA / NNNSXQ,,,,,
User10,12/11/2020 at 11:45:27 am EST,Crewmate,Win,8,No,Yes,05m 57s,No,0,02m 46s,++,NA / NNNSXQ,,,,,
User10,12/11/2020 at 11:38:12 am EST,Crewmate,Win,7,Yes,No,17m 29s,No,0,11m 27s,++,NA / NNNSXQ,,,,,
User10,12/11/2020 at 11:10:18 am EST,Crewmate,Win,7,Yes,No,07m 09s,No,0,03m 48s,++,NA / OHNBGF,,,,,
User10,12/11/2020 at 11:02:24 am EST,Crewmate,Win,7,Yes,Yes,04m 43s,No,0,03m 34s,N/A,NA / OHNBGF,,,,,
User10,12/11/2020 at 10:56:33 am EST,Crewmate,Win,2,No,No,04m 21s,No,0,03m 48s,N/A,NA / OHNBGF,,,,,
User10,12/11/2020 at 10:51:02 am EST,Crewmate,Win,8,Yes,Yes,10m 00s,No,0,04m 15s,++,NA / OHNBGF,,,,,
User10,12/11/2020 at 10:32:41 am EST,Crewmate,Loss,4,No,Yes,03m 47s,No,0,-,N/A,NA / PMZSNF,,,,,
User10,12/08/2020 at 9:40:35 pm EST,Crewmate,Loss,8,Yes,Yes,05m 22s,No,0,05m 17s,--,Europe / RLNKUF,,,,,
User10,12/08/2020 at 8:50:27 pm EST,Crewmate,Loss,3,No,No,01m 06s,No,1,-,N/A,NA / WYJDBF,,,,,
User10,12/08/2020 at 8:34:39 pm EST,Crewmate,Loss,4,No,No,05m 30s,No,0,02m 05s,--,NA / POONOF,,,,,
User10,12/08/2020 at 8:28:18 pm EST,Crewmate,Win,5,No,No,06m 23s,No,0,00m 40s,++,NA / POONOF,,,,,
User10,12/08/2020 at 8:19:16 pm EST,Crewmate,Loss,3,No,No,00m 36s,No,0,-,N/A,Europe / NKRVGF,,,,,
User10,12/08/2020 at 4:18:23 pm EST,Crewmate,Loss,5,Yes,No,07m 19s,No,2,02m 23s,--,Europe / GPTXWQ,,,,,
User10,12/08/2020 at 4:06:47 pm EST,Crewmate,Loss,0,No,No,01m 24s,No,1,-,N/A,Europe / NRFLXQ,,,,,
User10,12/08/2020 at 4:04:25 pm EST,Crewmate,Loss,3,No,Yes,02m 28s,No,2,-,N/A,Europe / NRFLXQ,,,,,
User10,12/08/2020 at 2:49:43 pm EST,Crewmate,Loss,8,Yes,Yes,20m 49s,No,0,14m 23s,--,Europe / HKTMKF,,,,,
User10,12/08/2020 at 2:27:39 pm EST,Crewmate,Win,8,Yes,No,15m 10s,No,2,14m 02s,++,Europe / HKTMKF,,,,,
User10,12/08/2020 at 2:11:06 pm EST,Crewmate,Loss,8,Yes,No,07m 29s,No,0,06m 01s,--,Europe / HKTMKF,,,,,
User10,12/08/2020 at 2:01:43 pm EST,Crewmate,Loss,6,No,No,05m 50s,No,0,-,---,Europe / HKTMKF,,,,,
User10,12/08/2020 at 1:55:13 pm EST,Crewmate,Loss,9,Yes,No,21m 03s,No,2,06m 37s,--,Europe / HKTMKF,,,,,
User10,12/08/2020 at 1:29:43 pm EST,Crewmate,Win,9,Yes,No,11m 45s,No,0,05m 43s,++,Europe / HKTMKF,,,,,
User10,12/08/2020 at 11:20:14 am EST,Crewmate,Loss,5,Yes,Yes,05m 48s,No,0,05m 47s,--,Europe / VNGSXQ,,,,,
User10,12/08/2020 at 11:12:10 am EST,Crewmate,Win,3,No,No,02m 05s,No,1,-,N/A,Europe / HNXINF,,,,,
User10,12/08/2020 at 11:02:46 am EST,Crewmate,Loss,4,No,Yes,07m 14s,No,1,-,---,Europe / RCMYWQ,,,,,
User10,12/06/2020 at 9:29:26 pm EST,Crewmate,Loss,4,No,Yes,05m 31s,No,1,-,---,NA / ZKKPYQ,,,,,
User10,12/06/2020 at 3:28:07 pm EST,Crewmate,Loss,1,No,Yes,00m 55s,No,0,-,N/A,Europe / HNPSZF,,,,,
User10,12/06/2020 at 3:18:18 pm EST,Crewmate,Win,0,No,No,05m 04s,No,0,-,N/A,Europe / BXRPWQ,,,,,
User10,12/05/2020 at 9:47:20 pm EST,Crewmate,Win,0,No,Yes,09m 36s,No,0,-,N/A,NA / YMMMBF,,,,,
User10,12/05/2020 at 9:09:23 pm EST,Crewmate,Loss,0,No,Yes,02m 00s,No,0,-,N/A,NA / TJVKHF,,,,,
User10,12/05/2020 at 5:57:24 pm EST,Crewmate,Win,5,Yes,No,06m 26s,No,0,03m 13s,++,NA / HYJVHF,,,,,
User10,12/05/2020 at 5:50:29 pm EST,Crewmate,Win,2,No,No,02m 32s,No,0,-,N/A,NA / XJBJXQ,,,,,
User10,12/05/2020 at 5:47:20 pm EST,Crewmate,Loss,0,No,Yes,01m 57s,No,0,-,N/A,NA / EDMCLQ,,,,,
User10,12/05/2020 at 12:54:26 am EST,Crewmate,Win,4,No,No,07m 39s,No,0,-,++,NA / SSMMYQ,,,,,
User10,12/05/2020 at 12:39:12 am EST,Crewmate,Loss,2,No,No,03m 31s,No,1,-,N/A,Europe / YBPUQQ,,,,,
User10,12/05/2020 at 12:25:08 am EST,Crewmate,Win,5,Yes,No,05m 37s,No,0,04m 02s,++,Europe / FUDOQQ,,,,,
User10,12/05/2020 at 12:17:44 am EST,Crewmate,Win,4,No,Yes,05m 36s,No,1,04m 39s,++,Europe / TSCTWQ,,,,,
User10,12/04/2020 at 6:06:51 pm EST,Crewmate,Win,6,No,No,08m 01s,No,1,-,++,NA / NLKPHF,,,,,
User10,12/04/2020 at 5:01:24 pm EST,Crewmate,Loss,7,Yes,Yes,10m 27s,No,0,08m 58s,--,NA / DBCRHF,,,,,
User10,12/04/2020 at 4:48:13 pm EST,Crewmate,Win,5,No,No,14m 29s,No,1,-,++,NA / DBCRHF,,,,,
User10,12/04/2020 at 4:16:48 pm EST,Crewmate,Loss,5,Yes,Yes,07m 10s,No,0,05m 17s,--,Europe / ARMDRQ,,,,,
User10,12/04/2020 at 4:08:58 pm EST,Crewmate,Win,3,No,No,04m 43s,No,0,-,N/A,Europe / ARMDRQ,,,,,
User10,12/04/2020 at 2:58:14 pm EST,Crewmate,Win,6,Yes,No,10m 24s,No,2,01m 31s,++,Europe / CEOLNF,,,,,
User10,12/04/2020 at 2:47:18 pm EST,Crewmate,Win,6,Yes,No,06m 28s,No,1,04m 05s,++,Europe / CEOLNF,,,,,
User10,12/04/2020 at 2:31:08 pm EST,Crewmate,Loss,0,No,No,00m 21s,No,0,-,N/A,Europe / VGVPXQ,,,,,
User10,12/04/2020 at 2:28:26 pm EST,Crewmate,Win,4,No,No,07m 27s,No,1,04m 35s,++,Europe / WITGQQ,,,,,
User10,12/04/2020 at 2:20:28 pm EST,Crewmate,Loss,2,No,No,02m 30s,No,0,-,N/A,Europe / WITGQQ,,,,,
User10,12/04/2020 at 2:11:49 pm EST,Crewmate,Win,4,No,No,02m 44s,No,0,-,N/A,Europe / YZPIQQ,,,,,
User10,12/04/2020 at 12:02:10 am EST,Crewmate,Loss,8,Yes,Yes,18m 32s,No,1,11m 33s,--,Europe / OUAACF,,,,,
User10,12/03/2020 at 11:42:38 pm EST,Crewmate,Win,8,Yes,No,10m 41s,No,1,03m 13s,++,Europe / OUAACF,,,,,
User10,12/03/2020 at 11:21:12 pm EST,Crewmate,Loss,8,Yes,Yes,13m 18s,No,0,12m 59s,--,Europe / OUAACF,,,,,
User10,12/03/2020 at 11:06:43 pm EST,Crewmate,Loss,8,Yes,Yes,21m 02s,No,1,08m 17s,--,Europe / OUAACF,,,,,
User10,12/03/2020 at 10:29:58 pm EST,Crewmate,Win,4,No,No,06m 10s,No,0,-,++,Europe / OUAACF,,,,,
User10,12/03/2020 at 10:22:00 pm EST,Crewmate,Win,8,Yes,Yes,21m 04s,No,0,08m 49s,++,Europe / OUAACF,,,,,
User10,12/03/2020 at 9:57:14 pm EST,Crewmate,Win,8,Yes,No,12m 34s,No,0,05m 36s,++,Europe / OUAACF,,,,,
User10,12/03/2020 at 9:10:25 pm EST,Crewmate,Loss,8,Yes,Yes,11m 27s,No,0,07m 47s,--,NA / TRLHCF,,,,,
User11,12/13/2020 at 10:29:43 pm EST,Crewmate,Win,7,Yes,Yes,13m 13s,No,1,10m 05s,++,NA / GFAXDF,,,,,
User11,12/13/2020 at 9:58:19 pm EST,Crewmate,Loss,7,Yes,Yes,18m 19s,No,0,07m 13s,--,NA / GFAXDF,,,,,
User11,12/13/2020 at 9:39:06 pm EST,Crewmate,Win,6,Yes,Yes,10m 42s,No,0,05m 07s,++,NA / GFAXDF,,,,,
User11,12/13/2020 at 9:27:22 pm EST,Crewmate,Win,3,No,No,05m 11s,No,1,-,++,NA / GFAXDF,,,,,
User11,12/13/2020 at 9:21:13 pm EST,Crewmate,Loss,5,No,Yes,04m 58s,No,0,-,N/A,NA / GFAXDF,,,,,
User11,12/13/2020 at 9:10:07 pm EST,Crewmate,Win,1,No,Yes,01m 19s,No,0,-,N/A,NA / GFAXDF,,,,,
User11,12/10/2020 at 8:40:32 pm EST,Crewmate,Loss,3,No,Yes,02m 11s,No,0,02m 05s,N/A,NA / PRPOXQ,,,,,
User11,12/09/2020 at 9:46:25 pm EST,Crewmate,Win,7,Yes,Yes,09m 29s,No,0,06m 56s,++,NA / LDTHVF,,,,,
User11,12/09/2020 at 9:36:27 pm EST,Crewmate,Loss,6,No,Yes,03m 07s,No,0,-,N/A,NA / LDTHVF,,,,,
User11,12/08/2020 at 11:36:19 pm EST,Crewmate,Loss,2,No,No,10m 32s,No,2,-,---,NA / DTPRHF,,,,,
User11,12/08/2020 at 11:25:03 pm EST,Crewmate,Win,1,No,Yes,03m 58s,No,0,-,N/A,NA / DTPRHF,,,,,
User11,12/08/2020 at 11:11:07 pm EST,Crewmate,Loss,3,No,No,04m 07s,Yes,0,-,N/A,NA / DTPRHF,,,,,
User11,12/08/2020 at 11:06:27 pm EST,Crewmate,Loss,5,No,No,05m 31s,No,1,-,---,NA / DTPRHF,,,,,
User11,12/08/2020 at 10:41:18 pm EST,Crewmate,Win,2,No,No,07m 06s,No,0,-,++,NA / DTPRHF,,,,,
User11,12/07/2020 at 10:24:19 pm EST,Crewmate,Loss,5,No,Yes,05m 00s,No,1,-,---,NA / XVMZZF,,,,,
User11,12/07/2020 at 10:09:36 pm EST,Crewmate,Win,4,No,Yes,03m 31s,No,0,-,N/A,NA / XVMZZF,,,,,
User11,12/07/2020 at 10:04:53 pm EST,Crewmate,Loss,5,No,Yes,05m 27s,No,1,-,---,NA / XVMZZF,,,,,
User11,12/07/2020 at 9:43:56 pm EST,Crewmate,Win,7,Yes,No,13m 50s,No,1,07m 59s,++,NA / IKBYZF,,,,,
User11,12/07/2020 at 9:29:39 pm EST,Crewmate,Win,7,Yes,Yes,13m 15s,No,2,11m 18s,++,NA / IKBYZF,,,,,
User11,12/07/2020 at 9:15:10 pm EST,Crewmate,Win,6,No,No,06m 24s,No,0,-,++,NA / IKBYZF,,,,,
User11,12/07/2020 at 9:06:33 pm EST,Crewmate,Win,5,No,Yes,07m 49s,No,1,-,++,NA / IKBYZF,,,,,
User11,12/05/2020 at 9:56:58 pm EST,Crewmate,Loss,8,Yes,Yes,12m 23s,No,3,07m 25s,--,NA / KIZNKF,,,,,
User12,12/17/2020 at 2:11:14 am EST,Crewmate,Win,8,Yes,No,17m 53s,No,1,09m 24s,++,NA / NVAFCF,,,,,
User12,12/17/2020 at 1:09:10 am EST,Crewmate,Loss,8,Yes,Yes,10m 49s,No,0,05m 58s,--,NA / NVAFCF,,,,,
User12,12/17/2020 at 12:55:57 am EST,Crewmate,Win,7,No,No,14m 33s,No,0,-,++,NA / NVAFCF,,,,,
User12,12/17/2020 at 12:36:06 am EST,Crewmate,Loss,8,Yes,No,11m 52s,No,0,08m 46s,--,NA / NVAFCF,,,,,
User12,12/17/2020 at 12:21:05 am EST,Crewmate,Win,8,Yes,No,18m 57s,No,0,08m 17s,++,NA / NVAFCF,,,,,
User12,12/16/2020 at 11:50:32 pm EST,Crewmate,Loss,6,No,Yes,11m 27s,No,0,-,---,NA / NVAFCF,,,,,
User12,12/16/2020 at 11:36:27 pm EST,Crewmate,Win,8,Yes,No,12m 03s,No,0,03m 27s,++,NA / NVAFCF,,,,,
User12,12/16/2020 at 10:32:14 pm EST,Crewmate,Loss,2,No,No,10m 30s,No,0,-,---,NA / THXLJF,,,,,
User12,12/16/2020 at 9:25:39 pm EST,Crewmate,Loss,7,No,Yes,08m 15s,No,0,-,---,NA / RDVGNF,,,,,
User12,12/16/2020 at 7:53:48 pm EST,Crewmate,Win,7,No,No,16m 53s,No,0,-,++,NA / BAPQFF,,,,,
User12,12/16/2020 at 5:52:43 pm EST,Crewmate,Loss,6,No,No,07m 41s,No,0,-,---,Europe / UPWUGF,,,,,
User12,12/16/2020 at 5:38:24 pm EST,Crewmate,Win,8,Yes,Yes,19m 33s,No,2,15m 37s,++,Europe / UPWUGF,,,,,
User12,12/16/2020 at 1:49:52 am EST,Crewmate,Win,8,Yes,No,13m 15s,No,0,09m 51s,++,NA / FFNSNF,,,,,
User12,12/16/2020 at 1:00:08 am EST,Crewmate,Win,4,No,No,05m 26s,No,0,-,++,NA / FFNSNF,,,,,
User12,12/16/2020 at 12:49:43 am EST,Crewmate,Win,5,No,Yes,16m 44s,No,0,-,++,NA / RJHBNF,,,,,
